 * vail Accuracy,output1: 87.562 * vail  Accuracy,output2: 88.288
 * training Accuracy,output1: 99.762 * Accuracy,output2: 99.860
 * vail Accuracy,output1: 87.727 * vail  Accuracy,output2: 88.453
 * training Accuracy,output1: 99.729 * Accuracy,output2: 99.803
 * vail Accuracy,output1: 87.661 * vail  Accuracy,output2: 88.387
 * training Accuracy,output1: 99.647 * Accuracy,output2: 99.803
 * vail Accuracy,output1: 88.189 * vail  Accuracy,output2: 88.222
 * training Accuracy,output1: 99.778 * Accuracy,output2: 99.770
 * vail Accuracy,output1: 87.364 * vail  Accuracy,output2: 88.717
 * training Accuracy,output1: 99.688 * Accuracy,output2: 99.745
 * vail Accuracy,output1: 87.463 * vail  Accuracy,output2: 88.453
 * training Accuracy,output1: 99.663 * Accuracy,output2: 99.786
 * vail Accuracy,output1: 86.803 * vail  Accuracy,output2: 88.321
 * training Accuracy,output1: 99.729 * Accuracy,output2: 99.819
 * vail Accuracy,output1: 87.265 * vail  Accuracy,output2: 88.618
 * training Accuracy,output1: 99.614 * Accuracy,output2: 99.721
 * vail Accuracy,output1: 86.902 * vail  Accuracy,output2: 88.519
 * training Accuracy,output1: 99.778 * Accuracy,output2: 99.786
 * vail Accuracy,output1: 87.232 * vail  Accuracy,output2: 87.958
 * training Accuracy,output1: 99.639 * Accuracy,output2: 99.778
 * vail Accuracy,output1: 87.496 * vail  Accuracy,output2: 88.783
 * training Accuracy,output1: 99.721 * Accuracy,output2: 99.803
 * vail Accuracy,output1: 87.100 * vail  Accuracy,output2: 87.892
 * training Accuracy,output1: 99.704 * Accuracy,output2: 99.819
 * vail Accuracy,output1: 87.133 * vail  Accuracy,output2: 87.430
 * training Accuracy,output1: 99.819 * Accuracy,output2: 99.877
 * vail Accuracy,output1: 87.100 * vail  Accuracy,output2: 88.288
 * training Accuracy,output1: 99.745 * Accuracy,output2: 99.803
 * vail Accuracy,output1: 86.935 * vail  Accuracy,output2: 88.123
 * training Accuracy,output1: 99.778 * Accuracy,output2: 99.828
 * vail Accuracy,output1: 87.529 * vail  Accuracy,output2: 87.958
 * training Accuracy,output1: 99.795 * Accuracy,output2: 99.795
 * vail Accuracy,output1: 87.562 * vail  Accuracy,output2: 88.783
 * training Accuracy,output1: 99.729 * Accuracy,output2: 99.778
 * vail Accuracy,output1: 87.034 * vail  Accuracy,output2: 88.189
 * training Accuracy,output1: 99.745 * Accuracy,output2: 99.745
 * vail Accuracy,output1: 87.364 * vail  Accuracy,output2: 88.321
 * training Accuracy,output1: 99.655 * Accuracy,output2: 99.836
 * vail Accuracy,output1: 87.298 * vail  Accuracy,output2: 88.453
 * training Accuracy,output1: 99.737 * Accuracy,output2: 99.786
 * vail Accuracy,output1: 86.902 * vail  Accuracy,output2: 88.519
 * training Accuracy,output1: 99.647 * Accuracy,output2: 99.680
 * vail Accuracy,output1: 86.836 * vail  Accuracy,output2: 87.925
 * training Accuracy,output1: 99.630 * Accuracy,output2: 99.852
 * vail Accuracy,output1: 86.869 * vail  Accuracy,output2: 88.090
 * training Accuracy,output1: 99.795 * Accuracy,output2: 99.786
 * vail Accuracy,output1: 87.133 * vail  Accuracy,output2: 88.024
 * training Accuracy,output1: 99.795 * Accuracy,output2: 99.828
 * vail Accuracy,output1: 87.364 * vail  Accuracy,output2: 88.024
 * training Accuracy,output1: 99.704 * Accuracy,output2: 99.819
 * vail Accuracy,output1: 86.836 * vail  Accuracy,output2: 88.486
