 * vail Accuracy,output1: 62.767 * vail  Accuracy,output2: 63.082
 * training Accuracy,output1: 73.333 * Accuracy,output2: 75.714
 * vail Accuracy,output1: 62.825 * vail  Accuracy,output2: 63.025
 * training Accuracy,output1: 72.887 * Accuracy,output2: 75.532
 * vail Accuracy,output1: 62.538 * vail  Accuracy,output2: 63.283
 * training Accuracy,output1: 73.203 * Accuracy,output2: 75.563
 * vail Accuracy,output1: 62.682 * vail  Accuracy,output2: 63.140
 * training Accuracy,output1: 73.154 * Accuracy,output2: 75.576
 * vail Accuracy,output1: 62.739 * vail  Accuracy,output2: 63.140
 * training Accuracy,output1: 73.150 * Accuracy,output2: 75.590
 * vail Accuracy,output1: 62.682 * vail  Accuracy,output2: 63.168
 * training Accuracy,output1: 73.093 * Accuracy,output2: 75.699
 * vail Accuracy,output1: 62.653 * vail  Accuracy,output2: 63.054
 * training Accuracy,output1: 73.241 * Accuracy,output2: 75.775
 * vail Accuracy,output1: 62.796 * vail  Accuracy,output2: 63.111
 * training Accuracy,output1: 73.247 * Accuracy,output2: 75.608
 * vail Accuracy,output1: 62.596 * vail  Accuracy,output2: 63.312
 * training Accuracy,output1: 73.336 * Accuracy,output2: 75.694
 * vail Accuracy,output1: 62.653 * vail  Accuracy,output2: 63.168
 * training Accuracy,output1: 73.260 * Accuracy,output2: 75.706
 * vail Accuracy,output1: 62.567 * vail  Accuracy,output2: 63.140
 * training Accuracy,output1: 73.034 * Accuracy,output2: 75.671
 * vail Accuracy,output1: 62.682 * vail  Accuracy,output2: 63.197
 * training Accuracy,output1: 73.376 * Accuracy,output2: 75.790
 * vail Accuracy,output1: 62.653 * vail  Accuracy,output2: 63.226
 * training Accuracy,output1: 73.267 * Accuracy,output2: 75.669
 * vail Accuracy,output1: 62.395 * vail  Accuracy,output2: 63.197
 * training Accuracy,output1: 72.826 * Accuracy,output2: 75.595
 * vail Accuracy,output1: 62.596 * vail  Accuracy,output2: 63.054
 * training Accuracy,output1: 73.327 * Accuracy,output2: 75.799
 * vail Accuracy,output1: 62.567 * vail  Accuracy,output2: 63.369
 * training Accuracy,output1: 73.078 * Accuracy,output2: 75.718
 * vail Accuracy,output1: 62.538 * vail  Accuracy,output2: 63.226
 * training Accuracy,output1: 73.203 * Accuracy,output2: 75.578
 * vail Accuracy,output1: 62.739 * vail  Accuracy,output2: 63.197
 * training Accuracy,output1: 73.149 * Accuracy,output2: 75.703
